all	kʰampan
belly	papfule
big	kraipə
bird	pəva
bite	kʰəməkaj
black	kətsapə
blood	pəʃi
bone	pəɹuk
breast	pənunu
burning	kətʃao
cloud	maoʃe
cold	kəsak
come	ɹeɹo
die	kətʰak
dog	tʰohuk
drink	kəmɨ
dry	kətsɯ
ear	pə̆kəni
earth (soil)	nə̆laj
eat	kədzə
egg	pəpruk
eye	pəmak
feather	pəve
fire	ʃamaj
fish	keisə
fly (v)	kəpɛ
foot	pə̆pae
full	kə̆pao
give	kʰə̆mi
good	kə̆je
green	kə̆mkɛpa
hair	pə̆kaove
hand	pə̆pi
head	pə̆kao
hear	kə̆tʃa
heart	pə̆məluŋ
horn (anatomy)	pə̆nə̆tʃɯ
hot	kətʃao
i	ai
kill	sek̆ətʰat
knee	pamə̆kɔk
know (something)	kə̆tʰaj
leaf	tʰani
liedown	pikasɔ
liver	pə̆mə̆tʰan
long	kə̆si
louse	ʃə̆rak
male person	mpə̆lak
many	ajaka
meat	pə̆sa
moon	tə̆le
mountain	kəpʰuŋ
mouth	pə̆mansɯ
claw or nail	pə̆pimatan
name	pə̆man
neck	p̆ər̆oktao
new	kətʰa
nose	pə̆nesʉ
one	kə̆sə̆ka
rain (precipitation)	kə̆narɯ
red	kə̆mapə
road	keraj
root	pənətʰə
sand	nə̆lajsakti
see	kətʰae
seed	tʰə̆tʰajpə̆mə̆tʃi
skin	pə̆fə
sleep	kə̆pi
small	kə̆tiva
smoke (exhaust)	maikə̆fə
stand	kə̆nədzan
star	mə̆petʃe
stone	ʃə̆luŋ
sun	tsə̆mak
tail	pə̆kə̆maj
that	tʃete
this	hai
thou	no
three	kə̆tʰam
tongue	pə̆mə̆laj
tooth	pə̆ʃə̆ve
tree	tʰanruŋ
two	kə̆nak
water	ʃə̆ruk
we (inclusive)	apai
what	napə
white	kə̆mə̆ŋəwa
who	tʰunde
woman	propuk
