all	tsõna
belly	avokʰ
big	kə̆de
bird	və̆tə
bite	kə̆məke
black	kə̆tsək
blood	aʃi
bone	aru
breast	anʷi
burning	medzale
cloud	mə̆riopi
cold	kə̆mə̆ka
come	oro
die	tʰidze
dog	fu
drink	nwaŋle
dry	tʰjondze
ear	aknɨo
earth (soil)	nəle
eat	pə̆zənle
egg	hartɨ
eye	amak
feather	harfɯ
fire	me
fish	kisɯ
fly (v)	pihanˑe
foot	kadzəksa
full	pʷedze
give	ladzu
good	jəle
green	kəməkjɛk
hair	akasam
hand	avan
head	aka
hear	slaŋlele
heart	amatʰən
horn (anatomy)	swendʒi
hot	kʰəsʰɯ
i	e
kill	jətʰətəze
knee	apekɔ
know (something)	kətʰe
leaf	taɲə
lie down	mə̆tsamə̆tsɔ
liver	voklõn
long	ajaŋɡəʃu
louse	akarak
male person	sə̆və̆ha
many	kə̆tuŋɡa
meat	sə
mountain	kəpʰuŋ
mouth	amasu
claw or nail	avanpətan
name	amuŋ
neck	akfɑ̃ŋ
new	kətʰar
nose	asiɲə
one	kə̆ʃika
rain (precipitation)	kə̆dzan
red	akə̆fɑŋ
road	sote
root	aŋiõŋ
round	nevomlalak
sand	ʃitʰə
see	kə̆ɲja
seed	atʰe
skin	ahɔn
sleep	jeptase
small	kə̆tin
smoke (exhaust)	aməkɔt
stand	kə̆nedzaŋ
star	ʃira
stone	luŋ
sun	tsə̆mak
tail	akə̆me
that	andza
this	atsa
thou	nɔ
three	kə̆tʰam
tongue	amə̆le
tooth	afə
tree	tʰanruŋ
two	kə̆ni
water	tɨ
we (inclusive)	wu
what	keku
white	mənakjerə
who	tʰu
woman	ʃuniha
