fire	mei
water	de-ru
earth	m̩-la
air	məsi
sky	kədʑiŋ-m̩-la
cloud	mo-dʑa
fog	mo-dʑa-tʰae
smoke	mei-kʰu
sun	kə-dʑiŋ
moon	kaŋ
star	mə-rik
lightening	mo-dʑa-seŋ-rui
thunder	kə-dʑiŋ-kuŋ-je
rain	kə-dʑiŋ-ru-je
rainbow	mo-dʑa-se-ŋe-to-ri-je
mountain	pʰo-ra
plain	tɕu-hei
river	koŋ
jungle	ru-ni-ta-ruŋ
stone	nuŋ-ko
wood	tʰiŋ
gold	sən-ni
silver	lu-pʰa
iron	mə-ru
brass	sən-ni
copper	sən-ni
day	ro-t͡ɕu
night	tɕu-ma-ting
year	kum kʰət
month	kəd-ʑiŋ kʰət
light	he-ru-je
darkness	t͡ɕa-ma-tiŋ-je
god	kuŋ-jo
demon	kuŋ-jo
man	kəhai-re
woman	əpʰae-nau
boy	aŋen-nau
girl	nɨpu-ni
animal	sejt
bird	əta
insect	kupa
friend	əma-ro
enemy	rel
father	əvi
mother	əwu
brother (elder)	əma
brother (younger)	ɨ-ka
sister (elder)	i-dʑoi-do
sister (younger)	ɨ-tɕa-do
son	i-ni-au-pa
daughter	i-ni-au-nu
elephant	sa-kutaie
rhinoceros	si-pa
buffalo	sɨ-loi
methin	sit-dʑəŋ
cow	sɨmuk
horse	sɨgol
goat	me-krek
tiger	sa-kʰu
bear	su-woŋ
leopard	ku-ne
monkey	nai-joŋ
hog	huk
dog	hu
cat	lami
rat	sok
porcupine	se-nuŋ
badger	sanni
hawk	kəleŋ
peacock	ha-re
crow	kuŋ-kʰa
hen	ha
toucan	ha-ta
fish	kʰi
lizard	tɕitaŋ
crab	kə-rau
snake	pʰu-ru
centipede	ku-pa
earthworm	m̩laru
caterpilar	ku-pai
butterfly	ku-pa
fly	ha-tɕeŋ
mosquito	hə-tɕɨk
beetle	ku-ma
ant	ar-ziŋ
white ant	lei-pum-pe
head	əkau
body	əsa
leg	əkoŋ
arm	əkʰut
face	əmai
neck	əli
back	əna
belly	əpuk
shoulder	əreŋ
hip	kəsuŋ
chest	ətʰa
waist	kəsaie
eye	əmit
ear	kəna
mouth	kəmo
nose	kəru
lip	kəmo
cheek	əsaie
chin	əkʰa
tooth	əha
hair	əko-sa
beard	kəmoha
mustache	kəmoha
navel	əkoi
