fire	mi
water	tun-dui
earth	m̩li
air	sip-hen
sky	kədiŋ
cloud	m̩ja
fog	m̩ja-sa-luk-le
smoke	mi-khut
sun	di-mit
moon	kədʑeu
star	sar-ha
lightening	liŋ-kai-rai
thunder	kədiŋ-ma-sumi
rain	kədiŋ-ru-le
rainbow	laŋ-sin
mountain	ədim
plain	tɕu-hoi
river	koŋ
jungle	rəm-di
stone	m̩luŋ
wood	thiŋ
gold	sinna
silver	ru-pa
iron	məri
day	m̩ʃon-ka
night	in-ja-ka
year	tiŋ-kum
month	kədʑeu khet
light	hal-le
darkness	meu-le
god	kim-jau
man	me
man	ja-nau
woman	əla-nau
boy	a-jau-no
girl	ui-dɨŋ-la-nau
animal	sa
bird	wa-nau
insect	əkhu
friend	itəm-mu-sa-la-nau
enemy	rai
father	i-wau
mother	i-ui
brother (elder)	i-mi
brother (younger)	i-tau
sister (elder)	i-tɕon
sister (younger)	i-tɕon
son	i-nau-je-ra
daughter	i-nau-lau-e
elephant	məhui
buffalo	sa-lui
methin	set-juŋ
cow	səmuk
horse	sa-koi
goat	ham-eŋ
tiger	sən-khu
bear	səŋ-om
leopard	kwaie-raŋ
monkey	ni-joŋ
hog	huk
dog	hui
cat	laŋ-jau
rat	məsu
porcupine	n̩khu
badger	kədiŋ-huk
hawk	kələŋ
crow	heu-kha
hen	hər
toucan	wa-raŋ
fish	khaie
lizard	tɕi-peŋ
crab	ke-rau
snake	phui
centipede	se-ta-lui
earthworm	ku-jai
caterpilar	ku-loŋ-mei
butterfly	tu-so-kau
fly	hai-ta
mosquito	ha-tɕuŋ
beetle	pai-hor
ant	nem-dau
white ant	lei-sa
head	kjew
body	əsa
leg	phi
arm	pau-thi
face	mai
neck	kei-jeŋ
back	duk-deu
belly	uk
shoulder	pan-soŋ
hip	rəŋ-thi
chest	məluŋ
waist	ke-seu
eye	mik
ear	kənau
mouth	mər-su
nose	ne-ɣar
lip	mər-tɕaie
cheek	mai
tooth	ha
hair	səm
beard	mər-ha
mustache	mər-ha
elbow	pəŋ-huk
wrist	pən-reŋ
hand	pan
finger	pan-ja
nail	tip-khu
thigh	kai-si
knee	kuk-sau
calf	phi-thi
ankle	phi-mik
foot	phi-kum
toe	phi-jen-ui
skin	əhui
bone	səru
blood	əsi
horn	ətɕe
wing	mətɕaŋ
feather	əha
tail	əkəmi
footprint	phi-tɕhau
hoof	diŋ-ku
hind-leg	əphi
fore-leg	əpan
tree	thiŋ-pem
root	məjuŋ
branch	əphaŋ
leaf	thiŋ-ni
fruit	thi
flower	on
bud	oom-le
creeper	korui
mango	thai-nau-thi
plantain	ling-la
plantain	ling-la-thi
bamboo	kəha
cane	ti-rui
cotton	wait
paddy	leŋ
rice	sam
cucumber	kədop-thi
pumpkin	kəma-thi
bengan	on-ju-thi
indian corn	pa-ha-thi
yam	ha
pulse	te-da-thi
capsicum	sa-thi
tobacco	mik-ri
pan	pana
beetel nut	goa
turmeric	leŋ-aŋ
reed	tɨk-du
grass	thiŋ-neu
bark	thiŋ-kui
husk of rice	phuŋ-hai
juice	əthui
sap	thiŋ-thui
cultivation	le-ou
flesh	sa
fat	əthau
oil	thui
salt	mətɕe
milk	sen-a-thui
shrab	thui
boiled meat	sa-hupe
roast meat	sa-kur-u-e
ladle	kəpi
ivory	sa-mui-ha
wax, bee	tərep
village	kui
house	sim
door	kem
mat	tɕem
basket	luk
box	thiŋ kaie
bag	tɕon-sa
cloth	ka-dʑoŋ
spear	kəði
dao	ui-lep
bow	kəjak
arrow	la
shield	tɕuŋ-ui
panjee	ka-seu
musket	ʃuŋ-mi
poison	hu
boat	məri-koŋ
coffin	thiŋ-kaie
one	kəseu khet
two	kəneu
three	kəthum
four	mətheu
five	phəŋeu
six	thəruk
seven	sini
eight	tɕisat
nine	tɕiku
ten	thəra
eleven	thəra ga sakhet
twelve	thəra ga kaneu
thirteen	thəra ga kəthum
twenty	məkui
thirty	thumra
forty	heŋ ma theu
fifty	heŋ phəŋeu
sixty	heŋ təruk
